unified_id,platform,show_id,original_title,original_year
UT00405,amazon,s662,The Fighting Kentuckian,1949
UT00406,amazon,s741,The Big Cat,1949
UT00407,amazon,s1153,Riders of the Whistling Pines,1949
UT00408,amazon,s1280,Port of New York,1949
UT00409,amazon,s1432,"Omoo, Omoo the Shark God",1949
UT00410,amazon,s1473,Not Wanted,1949
UT00411,amazon,s4757,The Big Sombrero,1949
UT00412,amazon,s4768,Rim Of The Canyon,1949
UT00413,amazon,s4865,The woman I lost,1949
UT00414,amazon,s5489,The Cowboy And The Indians,1949
UT00415,amazon,s5492,Sons Of New Mexico,1949
UT00416,amazon,s7435,Vazhkkai,1949
UT00417,disney,s542,In Beaver Valley,1950
UT00418,disney,s793,Cinderella,1950
UT00419,disney,s896,Food for Feudin',1950
UT00420,disney,s1138,Pluto and the Gopher,1950
UT00421,disney,s1385,Trailer Horn,1950
UT00422,disney,s1386,Treasure Island,1950
UT00423,amazon,s724,The Capture,1950
UT00424,amazon,s778,The Admiral Was A Lady,1950
UT00425,amazon,s1556,My Foolish Heart,1950
UT00426,amazon,s2098,Inside the Law,1950
UT00427,amazon,s2124,In a Lonely Place,1950
UT00428,amazon,s2161,Hurricane At Pilgrim Hill,1950
UT00429,amazon,s2294,Great Rupert,1950
UT00430,amazon,s2580,Edge of Doom,1950
UT00431,amazon,s2594,Eagle and the Hawk,1950
UT00432,amazon,s4236,Rio Grande,1950
UT00433,amazon,s5322,Sunset Boulevard,1950
UT00434,amazon,s5497,Riders In The Sky,1950
UT00435,amazon,s5500,Mule Train,1950
UT00436,amazon,s5515,Cow Town,1950
UT00437,amazon,s5891,"Cisco Kid in - ""Wedding Blackmail"" & ""False Marriage""",1950
UT00438,amazon,s5892,"Cisco Kid in - ""Phoney Sheriff"" & ""Lynching Story""",1950
UT00439,amazon,s6208,The Blazing Sun,1950
UT00440,amazon,s6232,Indian Territory,1950
UT00441,amazon,s6256,Beyond The Purple Hills,1950
UT00442,amazon,s6390,Little Women,1950
UT00443,amazon,s8707,Crime Drama Thriller Film Glenn Ford Broderick Crawford in Convicted a Film Noir Classic Mystery,1950
UT00444,disney,s545,Nature's Half Acre,1951
UT00445,disney,s585,Out of Scale,1951
UT00446,disney,s722,Alice in Wonderland,1951
UT00447,disney,s801,Corn Chips,1951
UT00448,amazon,s352,Three Guys Named Mike,1951
UT00449,amazon,s496,The Painted Hills,1951
UT00450,amazon,s1580,Mr. Imperium,1951
UT00451,amazon,s3361,Ace In The Hole,1951
UT00452,amazon,s3400,A Place in the Sun,1951
UT00453,amazon,s4821,The Groom Wore Spurs,1951
UT00454,amazon,s5900,"Van Johnson in Go For Broke - A War Film Classic, Uncut & Restored",1951
UT00455,amazon,s6114,Royal Wedding,1951
UT00456,amazon,s6211,Texans Never Cry,1951
UT00457,amazon,s6239,Gene Autry And The Mounties,1951
UT00458,amazon,s6614,I Want You,1951
UT00459,amazon,s6979,Whirlwind,1951
UT00460,amazon,s7027,Hills Of Utah,1951
UT00461,amazon,s7142,Valley Of Fire,1951
UT00462,amazon,s7154,Silver Canyon,1951
UT00463,amazon,s7442,Orr Iravu,1951
UT00464,amazon,s8713,Broderick Crawford in The Mob Crime Detective Film Noir Detective 1952 Classic,1951
UT00465,amazon,s9196,Fort Defiance,1951
UT00466,disney,s420,Trick or Treat,1952
UT00467,disney,s551,Water Birds,1952
UT00468,disney,s555,The Olympic Elk,1952
UT00469,disney,s560,Let's Stick Together,1952
UT00470,disney,s582,"Lambert, The Sheepish Lion",1952
